taxonomy,Thr_D,Trp_D,His_D,Pro_D,Met_D,Lys_D
Hungatella hathewayi/Falcatimonas natans/Lacrimispora xylanolytica/Lachnoclostridium pacaense/Blautia schinkii/Lacrimispora celerecrescens/[Ruminococcus] lactaris/Acetivibrio ethanolgignens/Hungatella effluvii/Anaerobium acetethylicum/Blautia luti/Blautia faecis/Kineothrix alysoides/Lacrimispora sphenoides/Blautia caecimuris/Lacrimispora algidixylanolytica/Lacrimispora saccharolytica,0.3077,0.0769,0,0,0,0
Neisseria cinerea/perflava/subflava,0,0,0,1,0,0
Phascolarctobacterium succinatutens,0,0,0,0,0,0
Prevotella buccalis,1,0,1,0,0,0
Oribacterium sinus/Enterocloster clostridioformis/Lachnoclostridium pacaense/Enterocloster bolteae/Lacrimispora indolis/Lachnoanaerobaculum umeaense/Lacrimispora amygdalina/[Clostridium] methoxybenzovorans,0,0,0,0,0,0
Bacteroides clarus,1,1,1,0,0,0
Prevotella melaninogenica,1,0,1,0,0,0
Negativibacillus massiliensis,1,0,1,0,0,0
Lawsonibacter asaccharolyticus/Oscillibacter valericigenes/Monoglobus pectinilyticus/Sporobacter termitidis/Oscillibacter ruminantium/Flintibacter butyricus,0,0,1,0,0.6673,0
Megamonas funiformis,0,0,0,0,0,0
Ruminococcus champanellensis/Tepidibaculum saccharolyticum/Ruminococcus albus/[Clostridium] methylpentosum/Ruminococcus callidus/Eubacterium coprostanoligenes/Acetanaerobacterium elongatum/Anaerotruncus colihominis/Hydrogenoanaerobacterium saccharovorans/[Clostridium] leptum/Harryflintia acetispora,0,0,1,0,0,0
Agathobaculum desmolans,0,1,0,0,0,0
Lawsonibacter asaccharolyticus,0,0.0894,0,0,0.0155,0.8048
Lawsonibacter asaccharolyticus/Ruminiclostridium papyrosolvens/Ruminiclostridium josui/Ruminiclostridium cellulolyticum/Oscillibacter valericigenes/Sporobacter termitidis/Monoglobus pectinilyticus/Ruminiclostridium sufflavum/Oscillibacter ruminantium/Flintibacter butyricus,0,0,0.6667,0,1,0
Ruminococcus champanellensis/Lawsonibacter asaccharolyticus/Tepidibaculum saccharolyticum/Solibaculum mannosilyticum/Ruminococcus callidus/[Eubacterium] siraeum,0,0,0,0,0.1248,0
Anaerotignum faecicola,0.0038,0.0019,0,0,0.0021,0
Enterococcus caccae/canis/casseliflavus/crotali/dispar/faecium/gallinarum/haemoperoxidus/hirae/moraviensis/mundtii/olivae/phoeniculicola/ratti/rotai/saccharolyticus/saigonensis/thailandicus/ureilyticus/villorum/wangshanyuanii,0.0714,0,0,0,0,0
Parabacteroides goldsteinii,1,0,1,0,0,0
Lacrimispora amygdalina/[Clostridium] methoxybenzovorans/Lacrimispora indolis/Lachnoclostridium pacaense,0.6508,0.4913,0.0134,0,0,0
Porphyromonas bennonis,1,0,1,1,0,0
Desulfovibrio piger,0.4955,0,0,0,0,0
Enterocloster bolteae/clostridioformis,0,0.1998,0.0007,0,0,0
Anaerotignum lactatifermentans,0,0,0,0,0,0
Turicibacter sanguinis,0,0,0,0,0,0
Eubacterium ramulus/Roseburia intestinalis,0,0,0,0,0,1
Hungatella hathewayi/Lachnoclostridium pacaense/Cuneatibacter caecimuris/Hungatella effluvii/Butyrivibrio crossotus,0.2727,0.1818,0.1818,0,0,0
Alistipes inops/Tidjanibacter massiliensis,1,1,1,0,0,0
Kineothrix alysoides,0,0,0,0,0,0
Bacteroides mediterraneensis,1,0,0,0,0,0
Tyzzerella nexilis,0,1,0,0,0,0
Caproiciproducens galactitolivorans,0,0,0,0,0,0
Hungatella effluvii/hathewayi,0.6665,0.3332,0,0,0,0
Terrisporobacter glycolicus/mayombei/petrolearius,0,0,1,0,1,1
Flavonifractor plautii/Flintibacter butyricus,0,0.1996,0.2015,0,0,0.7985
[Clostridium] fimetarium/[Clostridium] hylemonae/Enterocloster lavalensis/Enterocloster asparagiformis/Kineothrix alysoides/Anaerosporobacter mobilis,0.5,0.5,0,0,0.1667,0
Acidaminococcus fermentans/Acidaminococcus intestini/Phascolarctobacterium faecium,0,0,0.5,0,0,0
Anaerocolumna cellulosilytica/Hespellia porcina,0.308,0.538,0.0004,0,0,0
Parabacteroides johnsonii,0.3333,0,0.6667,0,0,0
Fusobacterium periodonticum,0,1,1,0,1,1
Acidaminococcus intestini,0,0,1,0,0,0
Ruminococcoides bili/Ruminococcus bromii,0,0,0,0,1,0
Streptococcus cristatus/downii/gordonii/gwangjuense/infantis/mitis/oralis/periodonticum,0,0,0,0,0,0
Megasphaera massiliensis,0,0,0,0,1,0
Dialister succinatiphilus,0,0,0,0,0,0
Acetivibrio straminisolvens/Acetivibrio cellulolyticus/Papillibacter cinnamivorans/Sporobacter termitidis,0,0,0,0,1,0
Bacteroides oleiciplenus/stercorirosoris,1,1,1,1,0,0
Novisyntrophococcus fermenticellae,0.8055,0.8179,0,0,0,0.0128
Duodenibacillus massiliensis,0.0339,0.2044,0.0594,0.2225,0.0039,0
Blautia stercoris,0,0.4995,1,0,0,0
Ruminococcus champanellensis/Ruminococcus flavefaciens/Tepidibaculum saccharolyticum/Ruminococcus albus/Ruminococcus callidus,0,0,0,0,0.1973,0
Enterocloster clostridioformis/Lachnoclostridium pacaense/Enterocloster bolteae/Lacrimispora indolis/Lacrimispora amygdalina/Kineothrix alysoides/[Clostridium] methoxybenzovorans/Lacrimispora sphenoides/Lacrimispora celerecrescens,0,0,0.6667,0,0,0
Peptoniphilus grossensis,0,1,1,0,0.5,0
Corynebacterium amycolatum/freneyi/lactis/xerosis,0,0,0,0,0,0
Fusobacterium mortiferum,0,0.0023,0.0023,0,1,0.0023
Lawsonibacter asaccharolyticus/Intestinimonas butyriciproducens/[Clostridium] viride/Flintibacter butyricus/Flavonifractor plautii/Pseudoflavonifractor capillosus,0.1998,0.1998,0,0,0,0.5994
Alistipes ihumii,1,0,0,0,0,0
Peptoniphilus gorbachii/harei/lacydonensis/senegalensis/tyrrelliae,0,1,1,0,1,0
Veillonella parvula/rogosae/tobetsuensis,0,0,0,0,0,0
Bacteroides nordii,1,1,1,0,0,0
[Clostridium] methylpentosum,0,0.0013,0,0,0,0
Monoglobus pectinilyticus,0.0268,0.4987,0,0,0.0006,0
Alistipes finegoldii/onderdonkii/shahii,1,0.8571,0.8571,0,0,0
Prevotella timonensis,1,0,0.8108,0,0,0
Corynebacterium aurimucosum/canis/diphtheriae/uropygiale/vitaeruminis,0,0,1,1,0,0
Enterococcus dongliensis/Enterococcus italicus/Vagococcus lutrae/Granulicatella adiacens,0,0,0,0,0,0
Paraprevotella xylaniphila,0,0,0,0,0,0
[Clostridium] leptum,0,0,0,0,0,0
Lactococcus allomyrinae/cremoris/lactis/taiwanensis,0,0.2,0,0,0,0
[Bacteroides] pectinophilus,0,0,0,0,0,0
[Clostridium] hylemonae,0.9947,0,0,0,0.0021,0
Oscillibacter ruminantium,0,0,1,0,1,0
Kineothrix alysoides/Lacrimispora saccharolytica/Merdimonas faecis,0.0018,0.0014,0.0007,0,0,0
Herbinix luporum/Parasporobacterium paucivorans,0,0,0,0,0,0
Acinetobacter johnsonii,0,0,0,1,0,0
Intestinimonas butyriciproducens,0,0,0,0,0,1
Ruminiclostridium cellobioparum/Sporobacter termitidis/Flintibacter butyricus,0,0,0.5,0,0.5,0
Roseburia inulinivorans/Falcatimonas natans/Eubacterium oxidoreducens,0,0,0,0,0,0
Lawsonibacter asaccharolyticus/Intestinimonas butyriciproducens/Pseudoflavonifractor phocaeensis/Sporobacter termitidis/Acetivibrio cellulolyticus/Flintibacter butyricus/Colidextribacter massiliensis,0,0,0,0,0,1
Clostridium chartatabidum,0,0,0,0,0,0
Blautia luti/obeum/schinkii,0,0,0,0,0,0
[Clostridium] fimetarium/Lacrimispora xylanolytica/Anaerotaenia torta/Cuneatibacter caecimuris/Anaerobium acetethylicum/Anaerocolumna aminovalerica/Variimorphobacter saccharofermentans/Anaerocolumna cellulosilytica/Hungatella xylanolytica/Frisingicoccus caecimuris/Anaerosporobacter mobilis/Lacrimispora algidixylanolytica/Parasporobacterium paucivorans,0,0,0,0,0,0
Butyricimonas paravirosa,1,1,1,0,0,1
Prevotella dentalis/Prevotella loescheii/Prevotella shahii/Prevotella corporis/Hallella seregens/Prevotella paludivivens/Prevotella buccalis/Prevotella oris,1,1,1,0,0,0
[Clostridium] fimetarium/Anaerosporobacter mobilis/Cuneatibacter caecimuris/Lachnoclostridium phytofermentans,0,0,0,0,0,0
Anaerococcus vaginalis,0,0,0,0,1,0
Blautia caecimuris,0,0.004,0,0,0,0
Clostridium lundense/Clostridium combesii/Clostridium botulinum/Clostridium vulturis/Proteiniclasticum ruminis/Clostridium tarantellae/Clostridium acetireducens/Clostridium tepidum/Clostridium prolinivorans/Clostridium akagii/Clostridium tepidiprofundi/Clostridium oceanicum/Clostridium sporogenes/Clostridium perfringens/Clostridium oryzae/Clostridium liquoris,0,1,0,0,1,0
Enterocloster clostridioformis/Enterocloster bolteae/Lachnoclostridium pacaense/Lacrimispora indolis/Lacrimispora amygdalina/[Clostridium] methoxybenzovorans,0.0003,0.0003,0.666,0,0,0
Emergencia timonensis/Ihubacter massiliensis,0,0.9948,0.9948,0,0,0.9978
Schaalia odontolytica,0,0,0,0.9804,0,0
Hungatella hathewayi/Lachnoclostridium pacaense/Hungatella effluvii,0.4992,0.1666,0.0013,0,0,0
Erysipelatoclostridium ramosum,0,0,0,0,0,0
Mesosutterella multiformis,0,0.0355,0.0355,1,0,0
Lacrimispora aerotolerans/Blautia obeum/Butyribacter intestini/Hungatella effluvii/Novisyntrophococcus fermenticellae/Blautia argi/Muricomes intestini/Frisingicoccus caecimuris/Butyrivibrio crossotus/Lacrimispora algidixylanolytica/Anaerosacchariphilus polymeriproducens/Marvinbryantia formatexigens/[Clostridium] hylemonae/Blautia luti/Hungatella hathewayi/Lacrimispora xylanolytica/Faecalimonas umbilicata/Kineothrix alysoides/Lacrimispora sphenoides/Lachnoclostridium pacaense/Blautia schinkii/Murimonas intestini,0.375,0.1875,0,0,0,0
Acetivibrio thermocellus/Ruminiclostridium josui/Ruminiclostridium cellulolyticum/Sporobacter termitidis/Monoglobus pectinilyticus/Acetivibrio straminisolvens/Acetivibrio cellulolyticus/Papillibacter cinnamivorans,0,0,0,0,1,0
Mediterraneibacter glycyrrhizinilyticus,1,0,0,0,0,0
Blautia hansenii/Blautia hominis/Lacrimispora aerotolerans/Hungatella effluvii/Herbinix hemicellulosilytica/Blautia marasmi/Frisingicoccus caecimuris/Lacrimispora algidixylanolytica/Enterocloster clostridioformis/Moryella indoligenes/Lacrimispora indolis/Hungatella hathewayi/Lacrimispora xylanolytica/Enterocloster bolteae/Kineothrix alysoides/[Clostridium] methoxybenzovorans/Lachnoclostridium pacaense/Murimonas intestini/Lacrimispora amygdalina,0.25,0.125,0.25,0,0,0
Anaerotignum aminivorans/neopropionicum/propionicum,0.9994,0,0,0,0.9994,0
Porphyromonas asaccharolytica,1,1,1,0,1,1
Comamonas testosteroni/thiooxydans,0,1,1,1,0,0
Prevotella bivia,1,0,1,0,0,0
Frisingicoccus caecimuris,0.6389,0.5669,0.0032,0,0,0
Colidextribacter massiliensis,0.0109,0.0764,0.0922,0,0,0.6637
Yersinia ruckeri/Rouxiella silvae/Serratia fonticola/Rouxiella badensis/Rahnella variigena/Rouxiella chamberiensis/Yersinia entomophaga/Serratia aquatilis/Rahnella inusitata/Hafnia psychrotolerans/Rahnella bruchi/Rahnella woolbedingensis/Rahnella victoriana/Yersinia nurmii/Nissabacter archeti/Ewingella americana,1,1,1,1,1,0.6667
[Clostridium] spiroforme,0,0,0,0,0,0
Kineothrix alysoides/Robinsoniella peoriensis,0.5,0.5,0,0,0,0
Aminipila butyrica/[Eubacterium] saphenum/Sinanaerobacter chloroacetimidivorans/Anaerovorax odorimutans,0,1,0,0,0,0
Gluceribacter canis/Faecalimonas umbilicata,1,0.8333,0,0,0,0
Odoribacter laneus,1,1,1,0,0,1
Pseudobutyrivibrio ruminis,0,0,0,0,0,0.8033
Fournierella massiliensis/Faecalibacterium prausnitzii,0,0,0.125,0,0,0
Prevotella colorans,0.012,0,0.012,0,0,0
Holdemania filiformis,1,1,0,0,0,0
Oribacterium sinus/Enterocloster clostridioformis/Enterocloster bolteae/Lacrimispora xylanolytica/Lacrimispora saccharolytica/[Clostridium] hylemonae/Merdimonas faecis/Enterocloster lavalensis/Faecalimonas umbilicata/Enterocloster asparagiformis/Kineothrix alysoides/Lacrimispora sphenoides/Lacrimispora algidixylanolytica/Lacrimispora celerecrescens,0.6,0.5,0.2,0,0,0
Streptococcus lactarius/peroris,0,0,0,0,0,0
Prevotella disiens,1,0,1,0,0,0
Coprobacter fastidiosus,0,0,0,0,0,0
Hungatella hathewayi/Lachnoclostridium pacaense/Faecalicatena orotica/Hungatella effluvii/Lacrimispora amygdalina/Kineothrix alysoides/[Clostridium] methoxybenzovorans,0.4547,0.2728,0,0,0,0
Mediterranea massiliensis,0.787,0.6175,0.7535,0.1005,0,0
Parabacteroides chongii/faecis/johnsonii/merdae,0.7145,0,0.8573,0,0,0
Peptoniphilus duerdenii,0,0.3333,0.6667,0,0,0.3333
Lawsonibacter asaccharolyticus/Pseudoflavonifractor phocaeensis,0,0.0743,0,0,0,0.8503
Staphylococcus aureus/capitis/caprae/carnosus/chromogenes/condimenti/croceilyticus/debuckii/epidermidis/hominis/hyicus/intermedius/lutrae/pasteuri/petrasii/piscifermentans/pragensis/roterodami/simulans,0.3889,0.5555,0.3333,1,0,0
Rummeliibacillus pycnus,1,0,0.75,1,0.25,0
Lactobacillus acidophilus/crispatus/gallinarum,0,0,0,0,0,0
Enterocloster asparagiformis/lavalensis,0.7765,0.8044,0.1677,0,0.3882,0
Peptoniphilus coxii,0,0,0,0,0,0
Anaeromassilibacillus senegalensis,0.615,0,0,0,0,0
Klebsiella pneumoniae/Klebsiella quasipneumoniae/Lelliottia nimipressuralis/Kluyvera intermedia/Enterobacter mori/Enterobacter cancerogenus/Kluyvera ascorbata/Kluyvera cryocrescens/Klebsiella huaxiensis/Kosakonia quasisacchari/Siccibacter turicensis/Enterobacter hormaechei/Leclercia adecarboxylata/Enterobacter cloacae/Erwinia persicina/Pantoea agglomerans/Klebsiella aerogenes,1,1,1,1,0,1
Alistipes indistinctus,1,1,0,0,0,0
Varibaculum anthropi/cambriense,0,0,0,1,0,0
Alistipes ihumii/indistinctus,1,0.5014,0,0,0,0
Phocaeicola sartorii,1,0,1,1,0,0
Anaerococcus prevotii/tetradius,0,0,0,0,0,0
Streptomyces lavendulae/Argonema antarcticum/Streptomyces virginiae/Leucobacter salsicius/Rhodoluna lacicola/Leucobacter celer/Leucobacter chromiiresistens/Deinococcus proteolyticus/Vampirovibrio chlorellavorus/Paenibacillus oryzae/Aquiluna borgnonia/Leucobacter tardus/Leucobacter exalbidus/Streptomyces sulphureus/Leucobacter aerolatus/Argonema galeatum/Baaleninema simplex/Leucobacter triazinivorans/Aquiluna Candidatus Aquiluna rubra/Leucobacter alluvii/Streptomyces kaempferi/Leucobacter iarius/Jacksonvillea apiculata/Annamia dubia,0,0,0,0,0,0
Alistipes senegalensis/timonensis,1,0.6667,0.6667,0,0,0
Lacrimispora amygdalina/[Clostridium] methoxybenzovorans,0.4618,0.4618,0.2048,0,0,0
Eisenbergiella massiliensis,0,0,0,0,0,0
Campylobacter hominis,0,0,0,0,0,0
Hungatella hathewayi/[Clostridium] fimetarium/[Clostridium] hylemonae/Anaerostipes caccae/Enterocloster lavalensis/Enterocloster asparagiformis/Novisyntrophococcus fermenticellae/Kineothrix alysoides/Anaerosporobacter mobilis,0.4545,0.2727,0,0,0.0909,0
Phocaeicola faecicola,0.9933,0,0,0,0,0
Rosenbergiella nectarea/Rosenbergiella australiborealis/Raoultella planticola/Rosenbergiella epipactidis,1,1,1,1,0.6667,0.3333
Pediococcus acidilactici/claussenii/pentosaceus/stilesii,0,0,0,0,0,0
Neglectibacter timonensis/Ruminococcus flavefaciens/Anaeromassilibacillus senegalensis/Caproicibacterium amylolyticum/Ruminococcus bromii/Caproiciproducens galactitolivorans/Caproicibacter fermentans/Ruminococcoides bili/[Clostridium] leptum,0,0,0,0,0.5,0
Parabacteroides chongii,0.9009,0,0.9414,0,0.0193,0
Prevotella histicola,1,0,1,0,0,0
Anaerostipes butyraticus/caccae/hadrus,0,0,0,0,0,0
Prevotella nanceiensis,0,0,0,0,0,0
Hungatella hathewayi,1,0,0,0,0,0
Anaerococcus degeneri/mediterraneensis/murdochii,0,0,0,0,0,0
Eisenbergiella tayi,0,0,0,0,0,0
Coprobacillus cateniformis,0,0,0,0,0,0
Ruminococcus champanellensis/Acetivibrio thermocellus/Ruminococcus flavefaciens/Anaeromassilibacillus senegalensis/Acetivibrio clariflavus/Tepidibaculum saccharolyticum/Ruminococcus albus/Ruminococcus callidus/Monoglobus pectinilyticus/Papillibacter cinnamivorans,0,0,0,0,0,0
Obesumbacterium proteus/Hafnia alvei,1,1,1,1,1,1
Blautia luti/Murimonas intestini/Marvinbryantia formatexigens,0,0,0,0,0,0
Hespellia porcina,0.6007,0.5992,0,0,0.2,0
Bifidobacterium animalis/porcinum/thermophilum,0,0,0,0,0,0
Bifidobacterium bifidum,0,0,0,0,1,0
Bacteroides fluxus/uniformis,1,1,1,0,0,0
Butyricimonas faecihominis,1,1,1,0,0,1
Fournierella massiliensis,0.2368,0,0.0225,0,0,0
Hungatella hathewayi/Mediterraneibacter glycyrrhizinilyticus/[Ruminococcus] torques/Acetivibrio ethanolgignens/Hungatella effluvii/Faecalicatena orotica,0.3636,0.0909,0,0,0,0
Hungatella hathewayi/Falcatimonas natans/[Ruminococcus] gnavus/[Clostridium] hylemonae/Hespellia porcina/Dorea longicatena,0.4286,0.5,0,0,0,0
Pseudoflavonifractor capillosus,0,0,0.0084,0,0,0
